Impressão de campos da consulta;;;;;;;;Página: 1;

3722;;Desconto Obtido ref.;;Não;
3723;;Pagamento de Empréstimo ref.;;Não;
3724;;Pagamento de Reembolso de Despesas conf. ND nº;;Não;
3725;;Pagamento de Refeição ref.;;Não;
3726;;Pagamento de despesas com copa e cozinha ref.;;Não;
3727;;Pagamento de licença de uso ref.;;Não;
3728;;Pagamento de despesas com viagens e hospedagens ref.;;Não;
3729;;Pagamento de Confraternizações ref.;;Não;
3730;;Pagamento de Condução ref.;;Não;
3731;;Devolução de Adiantamento para Futuro Aumento de Capital em:;;Não;
3732;;Pagamento de serviços de Limpeza ref.;;Não;
3733;;Pagamento de Estacionamento ref.;;Não;
3734;;Compra de Material de Escritório ref.;;Não;
3735;;Pagamento de Férias Ref.;;Não;
3736;;Pagamento de Refeições Ref.;;Não;
3737;;Pagamento de Brindes Ref.;;Não;
3738;;Pagamento de Assistencia Odontológica ref.;;Não;
3739;;Pagamento de Doação para;;Não;
3740;;Recebimento de Reembolso de Despesas ref.;;Não;
3741;;Pagamento de Compra de Livros ref.;;Não;
3742;;Resultado de Equivalência Patrimonial ref.;;Não;
3743;;Pagamento de Imposto indevido ou a maior ref.;;Não;
3744;;Pagamento de Reembolso de Despesas ref.;;Não;
3745;;Pagamento 1ª parcela 13° salário ref.;;Não;
3746;;Pagamento 2ª parcela 13° salário ref.;;Não;
3747;;Pagamento de Manutenção, Reparos e Instalações ref.;;Não;

SCI Ambiente Contábil ÚNICO;;;;
Impressão de campos da consulta;;;;;;;;Página: 12;

Código;Apelido;Nome;;Pula complemento;
3748;;Pagamento de Rescisão ref.;;Não;
3749;;Reembolso de Despesas ref.;;Não;
3750;;Pagamento de Copias e Autenticações ref.;;Não;
3751;;Pagamento de Assinatura ref.;;Não;
3752;;Pagamento de Compra de Benefícios ref.;;Não;
3753;;Compra de Material de Consumo ref.;;Não;
3754;;Pagamento de Patrocínio ref.;;Não;
3755;;Compra de Bens de Pequeno Valor ref.;;Não;
